feeder,start_time,end_time,outage_duration_minutes
8 MILES,2023-06-23 20:00:00.0000000,2023-06-23 20:00:00.0000000,0
8 MILES,2023-06-23 22:30:00.0000000,2023-06-23 23:00:00.0000000,30
8 MILES,2023-06-25 15:00:00.0000000,2023-06-25 15:00:00.0000000,0
8 MILES,2023-06-25 16:00:00.0000000,2023-06-25 16:30:00.0000000,30
8 MILES,2023-06-26 15:30:00.0000000,2023-06-26 15:30:00.0000000,0
8 MILES,2023-06-26 22:30:00.0000000,2023-06-26 22:30:00.0000000,0
8 MILES,2023-06-27 02:30:00.0000000,2023-06-27 10:00:00.0000000,450
8 MILES,2023-06-27 13:00:00.0000000,2023-06-27 13:30:00.0000000,30
8 MILES,2023-06-27 15:00:00.0000000,2023-06-27 16:30:00.0000000,90
8 MILES,2023-06-27 19:00:00.0000000,2023-06-27 19:00:00.0000000,0
8 MILES,2023-06-28 11:30:00.0000000,2023-06-28 11:30:00.0000000,0
8 MILES,2023-06-29 15:00:00.0000000,2023-06-29 15:00:00.0000000,0
8 MILES,2023-06-30 12:00:00.0000000,2023-06-30 12:00:00.0000000,0
8 MILES,2023-07-02 04:00:00.0000000,2023-07-02 10:00:00.0000000,360
8 MILES,2023-07-02 12:00:00.0000000,2023-07-02 12:30:00.0000000,30
8 MILES,2023-07-03 03:00:00.0000000,2023-07-03 04:30:00.0000000,90
8 MILES,2023-07-04 10:00:00.0000000,2023-07-04 12:30:00.0000000,150
8 MILES,2023-07-04 13:30:00.0000000,2023-07-04 15:00:00.0000000,90
8 MILES,2023-07-04 18:00:00.0000000,2023-07-04 18:30:00.0000000,30
8 MILES,2023-07-04 20:00:00.0000000,2023-07-04 21:30:00.0000000,90
8 MILES,2023-07-04 23:00:00.0000000,2023-07-04 23:30:00.0000000,30
8 MILES,2023-07-05 10:30:00.0000000,2023-07-05 10:30:00.0000000,0
8 MILES,2023-07-05 13:30:00.0000000,2023-07-05 13:30:00.0000000,0
8 MILES,2023-07-06 02:30:00.0000000,2023-07-06 04:30:00.0000000,120
8 MILES,2023-07-06 08:00:00.0000000,2023-07-06 10:00:00.0000000,120
8 MILES,2023-07-07 19:30:00.0000000,2023-07-07 19:30:00.0000000,0
8 MILES,2023-07-09 16:00:00.0000000,2023-07-09 16:00:00.0000000,0
8 MILES,2023-07-10 21:00:00.0000000,2023-07-10 22:00:00.0000000,60
8 MILES,2023-07-11 10:00:00.0000000,2023-07-11 10:00:00.0000000,0
8 MILES,2023-07-11 15:30:00.0000000,2023-07-11 15:30:00.0000000,0
8 MILES,2023-07-13 06:00:00.0000000,2023-07-13 09:30:00.0000000,210
8 MILES,2023-07-13 13:30:00.0000000,2023-07-13 13:30:00.0000000,0
8 MILES,2023-07-18 14:00:00.0000000,2023-07-18 14:00:00.0000000,0
8 MILES,2023-07-19 13:30:00.0000000,2023-07-20 18:00:00.0000000,1710
8 MILES,2023-07-20 19:00:00.0000000,2023-07-20 23:30:00.0000000,270
8 MILES,2023-07-21 01:30:00.0000000,2023-07-21 01:30:00.0000000,0
8 MILES,2023-07-21 05:00:00.0000000,2023-07-21 08:00:00.0000000,180
8 MILES,2023-07-21 17:30:00.0000000,2023-07-22 09:00:00.0000000,930
8 MILES,2023-07-23 04:00:00.0000000,2023-07-23 07:00:00.0000000,180
8 MILES,2023-07-23 13:00:00.0000000,2023-07-23 13:00:00.0000000,0
8 MILES,2023-07-23 15:30:00.0000000,2023-07-23 15:30:00.0000000,0
8 MILES,2023-07-26 11:00:00.0000000,2023-07-26 11:00:00.0000000,0
8 MILES,2023-07-26 20:30:00.0000000,2023-07-26 20:30:00.0000000,0
8 MILES,2023-07-26 22:00:00.0000000,2023-07-26 22:00:00.0000000,0
8 MILES,2023-07-29 12:30:00.0000000,2023-07-29 14:30:00.0000000,120
8 MILES,2023-07-29 19:30:00.0000000,2023-07-30 00:30:00.0000000,300
8 MILES,2023-07-30 15:30:00.0000000,2023-07-30 15:30:00.0000000,0
8 MILES,2023-07-30 18:00:00.0000000,2023-07-30 19:00:00.0000000,60
